sku,tipo,estampa_canonical,full_name,category,aliases
400,ELASTANO,San Andrés,Canga Elastano — San Andrés,Cangas em Elastano,400|san andres|sku 400
401,ELASTANO,Olho Grego,Canga Elastano — Olho Grego,Cangas em Elastano,401|olho grego|sku 401
402,ELASTANO,Olho Grego Mandala,Canga Elastano — Olho Grego Mandala,Cangas em Elastano,402|olho grego mandala|sku 402
403,ELASTANO,Fitas Praia,Canga Elastano — Fitas Praia,Cangas em Elastano,403|fitas praia|sku 403
404,ELASTANO,Borboleta,Canga Elastano — Borboleta,Cangas em Elastano,404|borboleta|sku 404
405,ELASTANO,Golfinho,Canga Elastano — Golfinho,Cangas em Elastano,405|golfinho|sku 405
406,ELASTANO,Transparente João Pessoa,Canga Elastano — Transparente João Pessoa,Cangas em Elastano,406|sku 406|transparente joao pessoa
407,ELASTANO,Arco-Íris,Canga Elastano — Arco-Íris,Cangas em Elastano,407|arco iris|arco-iris|sku 407
408,ELASTANO,Tramas,Canga Elastano — Tramas,Cangas em Elastano,408|sku 408|tramas
409,ELASTANO,Tye Dye,Canga Elastano — Tye Dye,Cangas em Elastano,409|sku 409|tye dye
410,ELASTANO,Brasil,Canga Elastano — Brasil,Cangas em Elastano,410|brasil|sku 410
411,ELASTANO,Brasil Tropical,Canga Elastano — Brasil Tropical,Cangas em Elastano,411|brasil tropical|sku 411
412,ELASTANO,Oxente Transparente,Canga Elastano — Oxente Transparente,Cangas em Elastano,412|oxente transparente|sku 412
413,ELASTANO,Filtro dos Sonhos,Canga Elastano — Filtro dos Sonhos,Cangas em Elastano,413|filtro dos sonhos|sku 413
414,ELASTANO,João Pessoa Paisagem,Canga Elastano — João Pessoa Paisagem,Cangas em Elastano,414|joao pessoa paisagem|sku 414
415,ELASTANO,Coqueiros,Canga Elastano — Coqueiros,Cangas em Elastano,415|coqueiros|sku 415
416,ELASTANO,Mamute,Canga Elastano — Mamute,Cangas em Elastano,416|mamute|sku 416
417,ELASTANO,Eu Amo Nordeste Transparente,Canga Elastano — Eu Amo Nordeste Transparente,Cangas em Elastano,417|eu amo nordeste transparente|sku 417
418,ELASTANO,Estrela,Canga Elastano — Estrela,Cangas em Elastano,418|estrela|sku 418
419,ELASTANO,Viajar,Canga Elastano — Viajar,Cangas em Elastano,419|sku 419|viajar
420,ELASTANO,Laranja,Canga Elastano — Laranja,Cangas em Elastano,420|laranja|sku 420
421,ELASTANO,Listras Onça,Canga Elastano — Listras Onça,Cangas em Elastano,421|listras onca|sku 421
422,ELASTANO,Oxente Bege,Canga Elastano — Oxente Bege,Cangas em Elastano,422|oxente bege|sku 422
423,ELASTANO,Flamingo,Canga Elastano — Flamingo,Cangas em Elastano,423|flamingo|sku 423
424,ELASTANO,Juliete,Canga Elastano — Juliete,Cangas em Elastano,424|juliete|sku 424
425,ELASTANO,Para Hoje,Canga Elastano — Para Hoje,Cangas em Elastano,425|para hoje|sku 425
426,ELASTANO,Vc Fica Linda,Canga Elastano — Vc Fica Linda,Cangas em Elastano,426|sku 426|vc fica linda
427,ELASTANO,Se Avexe Não,Canga Elastano — Se Avexe Não,Cangas em Elastano,427|se avexe nao|sku 427
428,ALGODAO,Instrumentos Musicais,Canga Algodão — Instrumentos Musicais,Cangas em Algodão,428|instrumentos musicais|sku 428
429,ALGODAO,Cordel,Canga Algodão — Cordel,Cangas em Algodão,429|cordel|sku 429
430,ALGODAO,Eu Amo Nordeste,Canga Algodão — Eu Amo Nordeste,Cangas em Algodão,430|eu amo nordeste|sku 430
431,ALGODAO,Oxente,Canga Algodão — Oxente,Cangas em Algodão,431|oxente|sku 431
