Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,40.000,2400.00,0.000,0.00,0.00,2400.00,1108.00,1292.00,53.83%,0.00
Bata infantil,10001,Roupas,20.000,890.00,0.000,0.00,0.00,890.00,404.00,486.00,54.61%,0.00
Bata XG 65,10002,Roupas,4.000,260.00,0.000,0.00,0.00,260.00,108.00,152.00,58.46%,0.00
Body,10003,Roupas,136.000,4760.00,0.000,0.00,35.00,4725.00,2054.00,2671.00,56.53%,0.00
Body conjunto,10004,Roupas,12.000,720.00,0.000,0.00,0.00,720.00,330.00,390.00,54.17%,0.00
Bolsa 55,10020,Bolsas,65.000,3575.00,0.000,0.00,115.00,3460.00,1430.00,2030.00,58.67%,0.00
Bolsa kit 125,10039,Bolsas,212.000,26500.00,0.000,0.00,0.00,26500.00,12570.00,13930.00,52.57%,0.00
Bolsinha 12,10021,Bolsas,25.000,363.00,0.000,0.00,0.00,363.00,150.00,213.00,58.68%,0.00
Bolsinha 15,10022,Bolsas,35.000,590.00,0.000,0.00,0.00,590.00,304.00,286.00,48.47%,0.00
Boneca,10032,Outros,38.000,1210.00,0.000,0.00,0.00,1210.00,545.00,665.00,54.96%,0.00
Boneca oxe,10040,Sem categoria,7.000,350.00,0.000,0.00,0.00,350.00,182.00,168.00,48.00%,0.00
Boné,10031,Outros,6.000,360.00,0.000,0.00,0.00,360.00,168.00,192.00,53.33%,0.00
Caneca louça,10030,Outros,349.000,12215.00,0.000,0.00,70.00,12145.00,5450.00,6695.00,55.13%,0.00
Caneca Ágata 20,10028,Outros,231.000,4620.00,1.000,20.00,0.00,4600.00,2410.00,2190.00,47.61%,0.00
Caneca Ágata 30,10029,Outros,39.000,1170.00,0.000,0.00,0.00,1170.00,600.00,570.00,48.72%,0.00
Canga elastano,10005,Roupas,236.000,12980.00,0.000,0.00,385.00,12595.00,5595.00,7000.00,55.58%,0.00
Canga viscose,10006,Roupas,70.000,4550.00,0.000,0.00,0.00,4550.00,1910.00,2640.00,58.02%,0.00
Carteira alça,10023,Bolsas,375.000,5625.00,0.000,0.00,17.14,5607.86,2145.00,3462.86,61.75%,0.00
Carteira pequena,10024,Bolsas,5.000,60.00,0.000,0.00,0.00,60.00,20.00,40.00,66.67%,0.00
Chaveiro 5,10033,Outros,102.000,510.00,0.000,0.00,2.22,507.78,122.00,385.78,75.97%,0.00
Chaveiro ímã 10,10034,Outros,2104.000,21040.00,0.000,0.00,40.01,20999.99,11090.00,9909.99,47.19%,0.00
Color 60,10007,Roupas,119.000,7140.00,0.000,0.00,53.16,7086.84,2790.00,4296.84,60.63%,0.00
Color XG 65,10008,Roupas,30.000,1950.00,0.000,0.00,130.00,1820.00,804.50,1015.50,55.80%,0.00
Ecobag,10025,Bolsas,281.000,7025.00,0.000,0.00,25.00,7000.00,3035.00,3965.00,56.64%,0.00
Embalagem presente 10,10037,Outros,12.000,102.00,0.000,0.00,14.00,88.00,79.20,8.80,10.00%,0.00
Embalagem presente 5,10036,Outros,90.000,450.00,0.000,0.00,17.80,432.20,285.00,147.20,34.06%,0.00
Ima promoção 20 reais,10041,Sem categoria,13.000,260.00,0.000,0.00,0.00,260.00,97.50,162.50,62.50%,0.00
Imã 15,10035,Outros,235.000,3525.00,0.000,0.00,1.67,3523.33,2225.00,1298.33,36.85%,0.00
Macaquinho,10009,Roupas,27.000,1320.00,0.000,0.00,0.00,1320.00,648.00,672.00,50.91%,0.00
Necessaire,10026,Bolsas,806.000,16120.00,1.000,20.00,169.66,15930.34,10496.00,5434.34,34.11%,0.00
Oxe adulto,10010,Roupas,32.000,1920.00,0.000,0.00,0.00,1920.00,864.45,1055.55,54.98%,0.00
Oxe conjunto,10012,Roupas,53.000,4220.00,0.000,0.00,80.00,4140.00,2117.50,2022.50,48.85%,0.00
Oxe infantil,10011,Roupas,36.000,1980.00,0.000,0.00,0.00,1980.00,820.60,1159.40,58.56%,0.00
Oxe XG,10013,Roupas,11.000,715.00,0.000,0.00,0.00,715.00,350.90,364.10,50.92%,0.00
Placa,10019,Outros,907.000,18140.00,0.000,0.00,22.78,18117.22,5932.00,12185.22,67.26%,0.00
Placa kit 100,10038,Outros,169.000,16900.00,0.000,0.00,0.00,16900.00,6340.00,10560.00,62.49%,0.00
Porta lingerie,10027,Bolsas,37.000,925.00,0.000,0.00,0.00,925.00,314.50,610.50,66.00%,0.00
Regional adulto,10014,Roupas,1170.000,64350.00,0.000,0.00,176.57,64173.43,30647.50,33525.93,52.24%,0.00
Regional infantil,10015,Roupas,126.000,5670.00,0.000,0.00,0.00,5670.00,3048.00,2622.00,46.24%,0.00
Saída praia,10016,Roupas,59.000,3835.00,0.000,0.00,65.00,3770.00,1907.20,1862.80,49.41%,0.00
Sereia,10017,Roupas,12.000,2160.00,0.000,0.00,0.00,2160.00,1115.00,1045.00,48.38%,0.00
Vestido algodão,10018,Roupas,55.000,3290.00,0.000,0.00,0.00,3290.00,1223.00,2067.00,62.83%,0.00
