Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Fulo Filo],Price [Fulo Filo],In stock [Fulo Filo],Low stock [Fulo Filo],Optimal stock [Fulo Filo]
bata-adulto,10000,Bata adulto,Roupas,,N,,,,,,,26.00,,,,N,,,,Y,60.00,,,
bata-infantil,10001,Bata infantil,Roupas,,N,,,,,,,18.00,,,,N,,,,Y,45.00,,,
bata-xg,10002,Bata XG 65,Roupas,,N,,,,,,,27.00,,,,N,,,,Y,65.00,,,
body,10003,Body,Roupas,,N,,,,,,,14.50,,,,N,,,,Y,35.00,,,
body-conjunto,10004,Body conjunto,Roupas,,N,,,,,,,27.50,,,,N,,,,Y,60.00,,,
bolsa-55,10020,Bolsa 55,Bolsas,,N,,,,,,,22.00,,,,N,,,,Y,55.00,,,
kit-bolsas,10039,Bolsa kit 125,Bolsas,,N,,,,,,,55.00,,,,N,,,,Y,125.00,,,
bolsinha-15,10021,Bolsinha 15,Bolsas,,N,,,,,,,6.00,,,,N,,,,Y,15.00,,,
bolsinha-20,10022,Bolsinha 20,Bolsas,,N,,,,,,,8.00,,,,N,,,,Y,20.00,,,
boné,10031,Boné,Outros,,N,,,,,,,28.00,,,,N,,,,Y,60.00,,,
boneca,10032,Boneca,Outros,,N,,,,,,,13.00,,,,N,,,,Y,30.00,,,
caneca-ágata-20,10028,Caneca Ágata 20,Outros,,N,,,,,,,10.00,,,,N,,,,Y,20.00,,,
caneca-ágata-30,10029,Caneca Ágata 30,Outros,,N,,,,,,,15.00,,,,N,,,,Y,30.00,,,
caneca-louça,10030,Caneca louça,Outros,,N,,,,,,,14.50,,,,N,,,,Y,35.00,,,
canga-elastano,10005,Canga elastano,Roupas,,N,,,,,,,20.00,,,,N,,,,Y,55.00,,,
canga-viscose,10006,Canga viscose,Roupas,,N,,,,,,,25.00,,,,N,,,,Y,65.00,,,
carteira-alça,10023,Carteira alça,Bolsas,,N,,,,,,,5.00,,,,N,,,,Y,15.00,,,
carteira-pequena,10024,Carteira pequena,Bolsas,,N,,,,,,,4.00,,,,N,,,,Y,12.00,,,
chaveiro-5,10033,Chaveiro 5,Outros,,N,,,,,,,1.00,,,,N,,,,Y,5.00,,,
chaveiro-ímã-10,10034,Chaveiro ímã 10,Outros,,N,,,,,,,5.00,,,,N,,,,Y,10.00,,,
color-60,10007,Color 60,Roupas,,N,,,,,,,22.50,,,,N,,,,Y,60.00,,,
color-xg-65,10008,Color XG 65,Roupas,,N,,,,,,,25.50,,,,N,,,,Y,65.00,,,
ecobag,10025,Ecobag,Bolsas,,N,,,,,,,10.00,,,,N,,,,Y,25.00,,,
embalagem-presente-10,10037,Embalagem presente 10,Outros,,N,,,,,,,3.20,,,,N,,,,Y,10.00,,,
embalagem-presente-5,10036,Embalagem presente 5,Outros,,N,,,,,,,2.00,,,,N,,,,Y,5.00,,,
ímã-15,10035,Imã 15,Outros,,N,,,,,,,5.00,,,,N,,,,Y,15.00,,,
macaquinho,10009,Macaquinho,Roupas,,N,,,,,,,18.00,,,,N,,,,Y,50.00,,,
necessaire,10026,Necessaire,Bolsas,,N,,,,,,,8.00,,,,N,,,,Y,20.00,,,
oxe-adulto,10010,Oxe adulto,Roupas,,N,,,,,,,25.95,,,,N,,,,Y,60.00,,,
oxe-conjunto,10012,Oxe conjunto,Roupas,,N,,,,,,,37.50,,,,N,,,,Y,80.00,,,
oxe-infantil,10011,Oxe infantil,Roupas,,N,,,,,,,20.90,,,,N,,,,Y,55.00,,,
oxe-xg,10013,Oxe XG,Roupas,,N,,,,,,,31.90,,,,N,,,,Y,65.00,,,
placa,10019,Placa,Outros,,N,,,,,,,6.00,,,,N,,,,Y,20.00,,,
kit-placas,10038,Placa kit 100,Outros,,N,,,,,,,36.00,,,,N,,,,Y,100.00,,,
porta-lingerie,10027,Porta lingerie,Bolsas,,N,,,,,,,8.50,,,,N,,,,Y,25.00,,,
regional-adulto,10014,Regional adulto,Roupas,,N,,,,,,,24.50,,,,N,,,,Y,55.00,,,
regional-infantil,10015,Regional infantil,Roupas,,N,,,,,,,22.00,,,,N,,,,Y,45.00,,,
saída-praia,10016,Saída praia,Roupas,,N,,,,,,,29.30,,,,N,,,,Y,65.00,,,
sereia,10017,Sereia,Roupas,,N,,,,,,,85.00,,,,N,,,,Y,180.00,,,
vestido-algodão,10018,Vestido algodão,Roupas,,N,,,,,,,21.00,,,,N,,,,Y,60.00,,,
