Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,26.00,34.00,56.67%,0.00
Body,10003,Roupas,1.000,35.00,0.000,0.00,0.00,35.00,14.50,20.50,58.57%,0.00
Bolsa kit 125,10039,Bolsas,5.000,625.00,0.000,0.00,0.00,625.00,275.00,350.00,56.00%,0.00
Bolsinha 15,10021,Bolsas,2.000,30.00,0.000,0.00,0.00,30.00,12.00,18.00,60.00%,0.00
Caneca louça,10030,Outros,5.000,175.00,0.000,0.00,0.00,175.00,72.50,102.50,58.57%,0.00
Caneca Ágata 20,10028,Outros,7.000,140.00,0.000,0.00,0.00,140.00,70.00,70.00,50.00%,0.00
Caneca Ágata 30,10029,Outros,3.000,90.00,0.000,0.00,0.00,90.00,45.00,45.00,50.00%,0.00
Canga elastano,10005,Roupas,5.000,275.00,0.000,0.00,0.00,275.00,100.00,175.00,63.64%,0.00
Canga viscose,10006,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,25.00,40.00,61.54%,0.00
Carteira alça,10023,Bolsas,5.000,75.00,0.000,0.00,0.00,75.00,25.00,50.00,66.67%,0.00
Chaveiro ímã 10,10034,Outros,11.000,110.00,0.000,0.00,0.00,110.00,55.00,55.00,50.00%,0.00
Ecobag,10025,Bolsas,1.000,25.00,0.000,0.00,0.00,25.00,10.00,15.00,60.00%,0.00
Imã 15,10035,Outros,3.000,45.00,0.000,0.00,0.00,45.00,15.00,30.00,66.67%,0.00
Necessaire,10026,Bolsas,9.000,180.00,0.000,0.00,0.00,180.00,72.00,108.00,60.00%,0.00
Oxe infantil,10011,Roupas,3.000,165.00,0.000,0.00,0.00,165.00,62.70,102.30,62.00%,0.00
Placa,10019,Outros,7.000,140.00,0.000,0.00,0.00,140.00,42.00,98.00,70.00%,0.00
Placa kit 100,10038,Outros,5.000,500.00,0.000,0.00,0.00,500.00,180.00,320.00,64.00%,0.00
Regional adulto,10014,Roupas,9.000,495.00,0.000,0.00,0.00,495.00,220.50,274.50,55.45%,0.00
Regional infantil,10015,Roupas,4.000,180.00,0.000,0.00,0.00,180.00,88.00,92.00,51.11%,0.00
Sereia,10017,Roupas,1.000,180.00,0.000,0.00,0.00,180.00,85.00,95.00,52.78%,0.00
Vestido algodão,10018,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,21.00,39.00,65.00%,0.00
