Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,24.000,1440.00,0.000,0.00,0.00,1440.00,692.00,748.00,51.94%,0.00
Bata infantil,10001,Roupas,13.000,575.00,0.000,0.00,0.00,575.00,278.00,297.00,51.65%,0.00
Bata XG 65,10002,Roupas,3.000,195.00,0.000,0.00,0.00,195.00,81.00,114.00,58.46%,0.00
Body,10003,Roupas,83.000,2905.00,0.000,0.00,35.00,2870.00,1285.50,1584.50,55.21%,0.00
Body conjunto,10004,Roupas,6.000,360.00,0.000,0.00,0.00,360.00,165.00,195.00,54.17%,0.00
Bolsa 55,10020,Bolsas,32.000,1760.00,0.000,0.00,0.00,1760.00,704.00,1056.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,110.000,13750.00,0.000,0.00,0.00,13750.00,6960.00,6790.00,49.38%,0.00
Bolsinha 15,10021,Bolsas,20.000,300.00,0.000,0.00,0.00,300.00,120.00,180.00,60.00%,0.00
Bolsinha 20,10022,Bolsas,10.000,200.00,0.000,0.00,0.00,200.00,104.00,96.00,48.00%,0.00
Boneca,10032,Outros,24.000,720.00,0.000,0.00,0.00,720.00,363.00,357.00,49.58%,0.00
Boné,10031,Outros,2.000,120.00,0.000,0.00,0.00,120.00,56.00,64.00,53.33%,0.00
Caneca louça,10030,Outros,200.000,7000.00,0.000,0.00,0.00,7000.00,3289.50,3710.50,53.01%,0.00
Caneca Ágata 20,10028,Outros,123.000,2460.00,0.000,0.00,0.00,2460.00,1340.00,1120.00,45.53%,0.00
Caneca Ágata 30,10029,Outros,23.000,690.00,0.000,0.00,0.00,690.00,360.00,330.00,47.83%,0.00
Canga elastano,10005,Roupas,137.000,7535.00,0.000,0.00,110.00,7425.00,3615.00,3810.00,51.31%,0.00
Canga viscose,10006,Roupas,48.000,3120.00,0.000,0.00,0.00,3120.00,1360.00,1760.00,56.41%,0.00
Carteira alça,10023,Bolsas,181.000,2715.00,0.000,0.00,0.00,2715.00,1175.00,1540.00,56.72%,0.00
Chaveiro 5,10033,Outros,60.000,300.00,0.000,0.00,0.00,300.00,80.00,220.00,73.33%,0.00
Chaveiro ímã 10,10034,Outros,1241.000,12410.00,0.000,0.00,10.00,12400.00,6775.00,5625.00,45.36%,0.00
Color 60,10007,Roupas,70.000,4200.00,0.000,0.00,46.40,4153.60,1687.50,2466.10,59.37%,0.00
Color XG 65,10008,Roupas,13.000,845.00,0.000,0.00,0.00,845.00,371.00,474.00,56.09%,0.00
Ecobag,10025,Bolsas,183.000,4575.00,0.000,0.00,0.00,4575.00,2055.00,2520.00,55.08%,0.00
Embalagem presente 10,10037,Outros,7.000,67.00,0.000,0.00,0.00,67.00,63.20,3.80,5.67%,0.00
Embalagem presente 5,10036,Outros,56.000,280.00,0.000,0.00,16.60,263.40,217.00,46.40,17.62%,0.00
Imã 15,10035,Outros,161.000,2415.00,0.000,0.00,0.00,2415.00,1855.00,560.00,23.19%,0.00
Macaquinho,10009,Roupas,17.000,820.00,0.000,0.00,0.00,820.00,468.00,352.00,42.93%,0.00
Necessaire,10026,Bolsas,464.000,9280.00,1.000,20.00,20.00,9240.00,7760.00,1480.00,16.02%,0.00
Oxe adulto,10010,Roupas,23.000,1380.00,0.000,0.00,0.00,1380.00,630.90,749.10,54.28%,0.00
Oxe conjunto,10012,Roupas,31.000,2460.00,0.000,0.00,0.00,2460.00,1292.50,1167.50,47.46%,0.00
Oxe infantil,10011,Roupas,21.000,1155.00,0.000,0.00,0.00,1155.00,507.10,647.90,56.10%,0.00
Oxe XG,10013,Roupas,4.000,260.00,0.000,0.00,0.00,260.00,127.60,132.40,50.92%,0.00
Placa,10019,Outros,536.000,10720.00,0.000,0.00,5.00,10715.00,3706.00,7009.00,65.41%,0.00
Placa kit 100,10038,Outros,109.000,10900.00,0.000,0.00,0.00,10900.00,4180.00,6720.00,61.65%,0.00
Porta lingerie,10027,Bolsas,27.000,675.00,0.000,0.00,0.00,675.00,229.50,445.50,66.00%,0.00
Regional adulto,10014,Roupas,655.000,36025.00,0.000,0.00,0.00,36025.00,18030.00,17995.00,49.95%,0.00
Regional infantil,10015,Roupas,75.000,3375.00,0.000,0.00,0.00,3375.00,1926.00,1449.00,42.93%,0.00
Saída praia,10016,Roupas,33.000,2145.00,0.000,0.00,65.00,2080.00,1145.40,934.60,44.93%,0.00
Sereia,10017,Roupas,11.000,1980.00,0.000,0.00,0.00,1980.00,1030.00,950.00,47.98%,0.00
Vestido algodão,10018,Roupas,33.000,1970.00,0.000,0.00,0.00,1970.00,761.00,1209.00,61.37%,0.00
