sku,full_name,category,unit_cost,suggested_price,min_stock,reorder_qty,qty_sold,revenue,profit,margin_pct
10014,Regional adulto,Roupas,24.5,55.0,5,15,1207.0,66208.43,36636.93,55.5
10039,Bolsa kit 125,Bolsas,55.0,125.0,5,15,219.0,27375.0,15330.0,56.0
10034,Chaveiro ímã 10,Outros,5.0,10.0,5,15,2192.0,21869.99,10909.99,50.0
10019,Placa,Outros,6.0,20.0,5,15,931.0,18597.22,13011.22,70.0
10038,Placa kit 100,Outros,36.0,100.0,5,15,171.0,17100.0,10944.0,64.0
10026,Necessaire,Bolsas,8.0,19.95,5,15,820.0,16210.34,9650.34,59.9
10005,Canga elastano,Roupas,20.0,55.0,5,15,241.0,12870.0,8050.0,63.6
10030,Caneca louça,Outros,14.5,35.0,5,15,363.0,12635.0,7371.5,58.6
10007,Color 60,Roupas,22.5,60.0,5,15,121.0,7206.84,4484.34,62.5
10025,Ecobag,Bolsas,10.0,25.0,5,15,288.0,7175.0,4295.0,60.0
10023,Carteira alça,Bolsas,5.0,15.0,5,15,383.0,5727.860000000001,3812.86,66.7
10015,Regional infantil,Roupas,22.0,45.0,5,15,127.0,5715.0,2921.0,51.1
10003,Body,Roupas,14.5,35.0,5,15,140.0,4865.0,2835.0,58.6
10028,Caneca Ágata 20,Outros,10.0,20.0,5,15,242.0,4820.0,2400.0,50.0
10006,Canga viscose,Roupas,30.33,65.0,5,15,71.0,4615.0,2461.57,53.3
10012,Oxe conjunto,Roupas,37.5,79.17,5,15,54.0,4220.0,2195.0,52.6
10016,Saída praia,Roupas,39.22,65.0,5,15,62.0,3965.0,1533.36,39.7
10035,Imã 15,Outros,5.0,15.0,5,15,235.0,3523.33,2348.33,66.7
10020,Bolsa 55,Bolsas,22.0,55.0,5,15,65.0,3460.0,2030.0,60.0
10018,Vestido algodão,Roupas,21.0,59.6,5,15,55.0,3290.0,2135.0,64.8
10000,Bata adulto,Roupas,26.0,60.0,5,15,40.0,2400.0,1360.0,56.7
10017,Sereia,Roupas,85.0,180.0,5,15,12.0,2160.0,1140.0,52.8
10010,Oxe adulto,Roupas,28.08,60.0,5,15,33.0,1980.0,1053.36,53.2
10011,Oxe infantil,Roupas,32.27,55.0,5,15,36.0,1980.0,818.28,41.3
10008,Color XG 65,Roupas,25.5,65.0,5,15,30.0,1820.0,1055.0,60.8
10009,Macaquinho,Roupas,18.0,48.0,5,15,30.0,1470.0,930.0,62.5
10032,Boneca,Outros,17.25,30.0,5,15,39.0,1245.0,572.25,42.5
10029,Caneca Ágata 30,Outros,15.0,30.0,5,15,41.0,1230.0,615.0,50.0
10027,Porta lingerie,Bolsas,8.5,25.0,5,15,37.0,925.0,610.5,66.0
10001,Bata infantil,Roupas,18.0,44.0,5,15,20.0,890.0,530.0,59.1
10004,Body conjunto,Roupas,27.5,60.0,5,15,14.0,840.0,455.0,54.2
10013,Oxe XG,Roupas,31.9,65.0,5,15,11.0,715.0,364.1,50.9
10022,Bolsinha 20,Bolsas,12.0,20.0,5,15,36.0,605.0,173.0,40.0
10033,Chaveiro 5,Outros,1.62,5.0,5,15,102.0,507.78,342.54,67.6
10036,Embalagem presente 5,Outros,2.0,5.0,5,15,92.0,442.2,258.2,60.0
10031,Boné,Outros,28.0,60.0,5,15,7.0,420.0,224.0,53.3
10040,Boneca oxe,Sem categoria,26.0,50.0,5,10,8.0,400.0,192.0,48.0
10021,Bolsinha 15,Bolsas,6.0,15.0,5,15,25.0,363.0,213.0,60.0
10041,Ima promoção 20 reais,Sem categoria,7.5,20.0,5,10,18.0,360.0,225.0,62.5
10002,Bata XG 65,Roupas,27.0,65.0,5,15,4.0,260.0,152.0,58.5
10037,Embalagem presente 10,Outros,10.0,10.0,5,15,14.0,102.0,-38.0,0.0
10024,Carteira pequena,Bolsas,4.0,12.0,2,6,5.0,60.0,40.0,66.7
00400,Canga Elastano — San Andrés,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00401,Canga Elastano — Olho Grego,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00402,Canga Elastano — Olho Grego Mandala,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00403,Canga Elastano — Fitas Praia,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00404,Canga Elastano — Borboleta,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00405,Canga Elastano — Golfinho,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00406,Canga Elastano — Transparente João Pessoa,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00407,Canga Elastano — Arco-Íris,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00408,Canga Elastano — Tramas,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00409,Canga Elastano — Tye Dye,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00410,Canga Elastano — Brasil,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00411,Canga Elastano — Brasil Tropical,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00412,Canga Elastano — Oxente Transparente,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00413,Canga Elastano — Filtro dos Sonhos,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00414,Canga Elastano — João Pessoa Paisagem,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00415,Canga Elastano — Coqueiros,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00416,Canga Elastano — Mamute,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00417,Canga Elastano — Eu Amo Nordeste Transparente,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00418,Canga Elastano — Estrela,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00419,Canga Elastano — Viajar,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00420,Canga Elastano — Laranja,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
00421,Canga Elastano — Listras Onça,Cangas em Elastano,28.5,55.0,10,20,0.0,0.0,0.0,48.2
