sku,raw_key,full_name,category,unit_cost,suggested_price,min_stock,reorder_qty,unit_profit,margin_pct,qty_sold,revenue,profit,avg_price,cum_revenue,cum_pct,abc_class,Category,Subcategory,CategoryConfidence
174,basica_tradutor,Camiseta Básica — Tradutor,Camisetas Básicas,7.0,25.0,10,30,18.0,72.0,0.0,0.0,0.0,25.0,0.0,0.0,C,Camisetas Básicas,Camisetas Básicas,manual
170,basica_paisagem,Camiseta Básica — Paisagem,Camisetas Básicas,7.0,25.0,10,30,18.0,72.0,0.0,0.0,0.0,25.0,0.0,0.0,C,Camisetas Básicas,Camisetas Básicas,manual
156,basica_barriga,Camiseta Básica — Barriga,Camisetas Básicas,7.0,25.0,10,30,18.0,72.0,0.0,0.0,0.0,25.0,0.0,0.0,C,Camisetas Básicas,Camisetas Básicas,manual
209,infantil_joão_pessoa_paraíso,Camiseta Infantil — João Pessoa Paraíso,Camisetas Infantis,8.0,32.0,10,30,24.0,75.0,0.0,0.0,0.0,32.0,0.0,0.0,C,Camisetas Infantis,Camisetas Infantis,manual
179,baby_look_cabedelo_peito,Baby Look — Cabedelo Peito,Baby Look,4.0,21.0,10,30,17.0,81.0,0.0,0.0,0.0,21.0,0.0,0.0,C,Baby Look,Baby Look,manual
207,infantil_oxente,Camiseta Infantil — Oxente,Camisetas Infantis,8.0,32.0,10,30,24.0,75.0,0.0,0.0,0.0,32.0,0.0,0.0,C,Camisetas Infantis,Camisetas Infantis,manual
205,infantil_lisa,Camiseta Infantil — Lisa,Camisetas Infantis,8.0,32.0,10,30,24.0,75.0,0.0,0.0,0.0,32.0,0.0,0.0,C,Camisetas Infantis,Camisetas Infantis,manual
182,baby_look_escrita_fina,Baby Look — Escrita Fina,Baby Look,4.0,21.0,10,30,17.0,81.0,0.0,0.0,0.0,21.0,0.0,0.0,C,Baby Look,Baby Look,manual
204,infantil_casa_vovó,Camiseta Infantil — Casa Vovó,Camisetas Infantis,8.0,32.0,10,30,24.0,75.0,0.0,0.0,0.0,32.0,0.0,0.0,C,Camisetas Infantis,Camisetas Infantis,manual
203,regata_velho,Regata — Velho,Regatas,3.0,30.0,10,30,27.0,90.0,0.0,0.0,0.0,30.0,0.0,0.0,C,Regatas,Regatas,manual
