sku,full_name,category,unit_cost,suggested_price,min_stock,reorder_qty,qty_sold,revenue,profit,margin_pct
10014,Regional adulto,Roupas,28.46,55.0,5,15,500.0,27500.0,13270.0,48.3
10039,Bolsa kit 125,Bolsas,66.82,125.0,5,15,77.0,9625.0,4479.86,46.5
10034,Chaveiro ímã 10,Outros,5.6,10.0,5,15,955.0,9550.0,4202.0,44.0
10019,Placa,Outros,7.18,20.0,5,15,417.0,8340.0,5345.94,64.1
10038,Placa kit 100,Outros,39.46,100.0,5,15,74.0,7400.0,4479.96,60.5
10026,Necessaire,Bolsas,19.09,19.95,5,15,364.0,7280.0,331.24,4.3
10005,Canga elastano,Roupas,28.5,55.0,5,15,103.0,5665.0,2729.5,48.2
10030,Caneca louça,Outros,17.24,35.0,5,15,142.0,4970.0,2521.92,50.7
10025,Ecobag,Bolsas,11.52,25.0,5,15,148.0,3700.0,1995.04,53.9
10007,Color 60,Roupas,24.75,60.0,5,15,50.0,3000.0,1762.5,58.8
10015,Regional infantil,Roupas,26.93,45.0,5,15,56.0,2520.0,1011.92,40.2
10006,Canga viscose,Roupas,29.57,65.0,5,15,35.0,2275.0,1240.05,54.5
10023,Carteira alça,Bolsas,6.86,15.0,5,15,145.0,2175.0,1180.3,54.3
10003,Body,Roupas,15.89,35.0,5,15,59.0,2065.0,1127.49,54.6
10012,Oxe conjunto,Roupas,42.92,79.17,5,15,24.0,1900.0,869.92,45.8
10028,Caneca Ágata 20,Outros,11.16,20.0,5,15,95.0,1900.0,839.8,44.2
10016,Saída praia,Roupas,35.46,65.0,5,15,29.0,1885.0,856.66,45.4
10035,Imã 15,Outros,14.05,15.0,5,15,116.0,1740.0,110.2,6.3
10017,Sereia,Roupas,95.56,180.0,5,15,9.0,1620.0,759.96,46.9
10018,Vestido algodão,Roupas,23.72,59.6,5,15,25.0,1490.0,897.0,60.2
10020,Bolsa 55,Bolsas,22.0,55.0,5,15,20.0,1100.0,660.0,60.0
10000,Bata adulto,Roupas,29.78,60.0,5,15,18.0,1080.0,543.96,50.4
10010,Oxe adulto,Roupas,28.22,60.0,5,15,15.0,900.0,476.7,53.0
10009,Macaquinho,Roupas,28.8,48.0,5,15,15.0,719.97,287.97,40.0
10008,Color XG 65,Roupas,29.09,65.0,5,15,11.0,715.0,395.01,55.2
10011,Oxe infantil,Roupas,26.15,55.0,5,15,13.0,715.0,375.05,52.5
10032,Boneca,Outros,15.43,30.0,5,15,21.0,630.0,305.97,48.6
10029,Caneca Ágata 30,Outros,15.94,30.0,5,15,16.0,480.0,224.96,46.9
10027,Porta lingerie,Bolsas,8.5,25.0,5,15,18.0,450.0,297.0,66.0
10001,Bata infantil,Roupas,22.4,44.0,5,15,10.0,440.0,216.0,49.1
10004,Body conjunto,Roupas,27.5,60.0,5,15,4.0,240.0,130.0,54.2
10021,Bolsinha 15,Bolsas,6.0,15.0,5,15,16.0,240.0,144.0,60.0
10033,Chaveiro 5,Outros,1.42,5.0,5,15,48.0,240.0,171.84,71.6
10022,Bolsinha 20,Bolsas,10.4,20.0,5,15,10.0,200.0,96.0,48.0
10013,Oxe XG,Roupas,31.9,65.0,5,15,3.0,195.0,99.3,50.9
10036,Embalagem presente 5,Outros,4.84,5.0,5,15,37.0,185.0,5.92,3.2
10002,Bata XG 65,Roupas,27.0,65.0,5,15,2.0,130.0,76.0,58.5
10031,Boné,Outros,28.0,60.0,5,15,2.0,120.0,64.0,53.3
10037,Embalagem presente 10,Outros,10.0,10.0,5,15,6.0,60.0,0.0,0.0
