Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,13.000,780.00,0.000,0.00,0.00,780.00,338.00,442.00,56.67%,0.00
Bata infantil,10001,Roupas,6.000,270.00,0.000,0.00,0.00,270.00,108.00,162.00,60.00%,0.00
Bata XG 65,10002,Roupas,2.000,130.00,0.000,0.00,0.00,130.00,54.00,76.00,58.46%,0.00
Body,10003,Roupas,39.000,1365.00,0.000,0.00,0.00,1365.00,565.50,799.50,58.57%,0.00
Body conjunto,10004,Roupas,2.000,120.00,0.000,0.00,0.00,120.00,55.00,65.00,54.17%,0.00
Bolsa 55,10020,Bolsas,13.000,715.00,0.000,0.00,0.00,715.00,286.00,429.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,38.000,4750.00,0.000,0.00,0.00,4750.00,2090.00,2660.00,56.00%,0.00
Bolsinha 15,10021,Bolsas,10.000,150.00,0.000,0.00,0.00,150.00,60.00,90.00,60.00%,0.00
Bolsinha 20,10022,Bolsas,7.000,140.00,0.000,0.00,0.00,140.00,56.00,84.00,60.00%,0.00
Boneca,10032,Outros,15.000,450.00,0.000,0.00,0.00,450.00,195.00,255.00,56.67%,0.00
Boné,10031,Outros,2.000,120.00,0.000,0.00,0.00,120.00,56.00,64.00,53.33%,0.00
Caneca louça,10030,Outros,86.000,3010.00,0.000,0.00,0.00,3010.00,1247.00,1763.00,58.57%,0.00
Caneca Ágata 20,10028,Outros,71.000,1420.00,0.000,0.00,0.00,1420.00,710.00,710.00,50.00%,0.00
Caneca Ágata 30,10029,Outros,14.000,420.00,0.000,0.00,0.00,420.00,210.00,210.00,50.00%,0.00
Canga elastano,10005,Roupas,63.000,3465.00,0.000,0.00,0.00,3465.00,1260.00,2205.00,63.64%,0.00
Canga viscose,10006,Roupas,20.000,1300.00,0.000,0.00,0.00,1300.00,500.00,800.00,61.54%,0.00
Carteira alça,10023,Bolsas,76.000,1140.00,0.000,0.00,0.00,1140.00,380.00,760.00,66.67%,0.00
Chaveiro 5,10033,Outros,32.000,160.00,0.000,0.00,0.00,160.00,32.00,128.00,80.00%,0.00
Chaveiro ímã 10,10034,Outros,608.000,6080.00,0.000,0.00,0.00,6080.00,3040.00,3040.00,50.00%,0.00
Color 60,10007,Roupas,38.000,2280.00,0.000,0.00,0.00,2280.00,855.00,1425.00,62.50%,0.00
Color XG 65,10008,Roupas,8.000,520.00,0.000,0.00,0.00,520.00,204.00,316.00,60.77%,0.00
Ecobag,10025,Bolsas,88.000,2200.00,0.000,0.00,0.00,2200.00,880.00,1320.00,60.00%,0.00
Embalagem presente 10,10037,Outros,1.000,10.00,0.000,0.00,0.00,10.00,10.00,0.00,0.00%,0.00
Embalagem presente 5,10036,Outros,26.000,130.00,0.000,0.00,0.00,130.00,124.00,6.00,4.62%,0.00
Imã 15,10035,Outros,75.000,1125.00,0.000,0.00,0.00,1125.00,1015.00,110.00,9.78%,0.00
Macaquinho,10009,Roupas,8.000,400.00,0.000,0.00,0.00,400.00,144.00,256.00,64.00%,0.00
Necessaire,10026,Bolsas,215.000,4300.00,0.000,0.00,0.00,4300.00,3988.00,312.00,7.26%,0.00
Oxe adulto,10010,Roupas,7.000,420.00,0.000,0.00,0.00,420.00,181.65,238.35,56.75%,0.00
Oxe conjunto,10012,Roupas,14.000,1120.00,0.000,0.00,0.00,1120.00,525.00,595.00,53.12%,0.00
Oxe infantil,10011,Roupas,10.000,550.00,0.000,0.00,0.00,550.00,209.00,341.00,62.00%,0.00
Oxe XG,10013,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,31.90,33.10,50.92%,0.00
Placa,10019,Outros,258.000,5160.00,0.000,0.00,0.00,5160.00,1548.00,3612.00,70.00%,0.00
Placa kit 100,10038,Outros,55.000,5500.00,0.000,0.00,0.00,5500.00,1980.00,3520.00,64.00%,0.00
Porta lingerie,10027,Bolsas,15.000,375.00,0.000,0.00,0.00,375.00,127.50,247.50,66.00%,0.00
Regional adulto,10014,Roupas,319.000,17545.00,0.000,0.00,0.00,17545.00,7815.50,9729.50,55.45%,0.00
Regional infantil,10015,Roupas,32.000,1440.00,0.000,0.00,0.00,1440.00,704.00,736.00,51.11%,0.00
Saída praia,10016,Roupas,20.000,1300.00,0.000,0.00,0.00,1300.00,586.00,714.00,54.92%,0.00
Sereia,10017,Roupas,8.000,1440.00,0.000,0.00,0.00,1440.00,680.00,760.00,52.78%,0.00
Vestido algodão,10018,Roupas,19.000,1140.00,0.000,0.00,0.00,1140.00,399.00,741.00,65.00%,0.00
