Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata infantil,10001,Roupas,1.000,45.00,0.000,0.00,0.00,45.00,18.00,27.00,60.00%,0.00
Body,10003,Roupas,3.000,105.00,0.000,0.00,0.00,105.00,43.50,61.50,58.57%,0.00
Body conjunto,10004,Roupas,1.000,60.00,0.000,0.00,0.00,60.00,27.50,32.50,54.17%,0.00
Bolsa 55,10020,Bolsas,2.000,110.00,0.000,0.00,0.00,110.00,44.00,66.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,1.000,125.00,0.000,0.00,0.00,125.00,55.00,70.00,56.00%,0.00
Caneca louça,10030,Outros,1.000,35.00,0.000,0.00,0.00,35.00,14.50,20.50,58.57%,0.00
Caneca Ágata 20,10028,Outros,1.000,20.00,0.000,0.00,0.00,20.00,10.00,10.00,50.00%,0.00
Caneca Ágata 30,10029,Outros,1.000,30.00,0.000,0.00,0.00,30.00,15.00,15.00,50.00%,0.00
Canga elastano,10005,Roupas,5.000,275.00,0.000,0.00,0.00,275.00,100.00,175.00,63.64%,0.00
Carteira alça,10023,Bolsas,8.000,120.00,0.000,0.00,0.00,120.00,40.00,80.00,66.67%,0.00
Chaveiro ímã 10,10034,Outros,35.000,350.00,0.000,0.00,0.00,350.00,175.00,175.00,50.00%,0.00
Color 60,10007,Roupas,3.000,180.00,0.000,0.00,0.00,180.00,67.50,112.50,62.50%,0.00
Color XG 65,10008,Roupas,1.000,65.00,0.000,0.00,0.00,65.00,25.50,39.50,60.77%,0.00
Ecobag,10025,Bolsas,1.000,25.00,0.000,0.00,0.00,25.00,10.00,15.00,60.00%,0.00
Embalagem presente 5,10036,Outros,2.000,10.00,0.000,0.00,0.00,10.00,4.00,6.00,60.00%,0.00
Imã 15,10035,Outros,6.000,90.00,0.000,0.00,0.00,90.00,30.00,60.00,66.67%,0.00
Macaquinho,10009,Roupas,3.000,150.00,0.000,0.00,0.00,150.00,54.00,96.00,64.00%,0.00
Necessaire,10026,Bolsas,14.000,280.00,0.000,0.00,0.00,280.00,112.00,168.00,60.00%,0.00
Oxe conjunto,10012,Roupas,1.000,80.00,0.000,0.00,0.00,80.00,37.50,42.50,53.13%,0.00
Placa,10019,Outros,22.000,440.00,0.000,0.00,0.00,440.00,132.00,308.00,70.00%,0.00
Placa kit 100,10038,Outros,3.000,300.00,0.000,0.00,0.00,300.00,108.00,192.00,64.00%,0.00
Porta lingerie,10027,Bolsas,1.000,25.00,0.000,0.00,0.00,25.00,8.50,16.50,66.00%,0.00
Regional adulto,10014,Roupas,13.000,715.00,0.000,0.00,0.00,715.00,318.50,396.50,55.45%,0.00
Regional infantil,10015,Roupas,1.000,45.00,0.000,0.00,0.00,45.00,22.00,23.00,51.11%,0.00
Sereia,10017,Roupas,1.000,180.00,0.000,0.00,0.00,180.00,85.00,95.00,52.78%,0.00
