sku,tipo,estampa_canonica,full_name,category,aliases
400,ELASTANO,San Andrés,Canga Elastano — San Andrés,Cangas em Elastano,San Andrés|canga_elastano_san_andres|san andres|san_andres
401,ELASTANO,Olho Grego,Canga Elastano — Olho Grego,Cangas em Elastano,Olho Grego|canga_elastano_olho_grego|olho grego|olho_grego
402,ELASTANO,Olho Grego Mandala,Canga Elastano — Olho Grego Mandala,Cangas em Elastano,Olho Grego Mandala|canga_elastano_olho_grego_mandala|olho grego mandala|olho_grego_mandala
403,ELASTANO,Fitas Praia,Canga Elastano — Fitas Praia,Cangas em Elastano,Fitas Praia|canga_elastano_fitas_praia|fitas praia|fitas_praia
404,ELASTANO,Borboleta,Canga Elastano — Borboleta,Cangas em Elastano,Borboleta|borboleta|canga_elastano_borboleta
405,ELASTANO,Golfinho,Canga Elastano — Golfinho,Cangas em Elastano,Golfinho|canga_elastano_golfinho|golfinho
406,ELASTANO,Transparente João Pessoa,Canga Elastano — Transparente João Pessoa,Cangas em Elastano,Transparente João Pessoa|canga_elastano_transparente_joao_pessoa|transparente joao pessoa|transparente_joao_pessoa
407,ELASTANO,Arco-Íris,Canga Elastano — Arco-Íris,Cangas em Elastano,Arco-Íris|arco-iris|arco_iris|canga_elastano_arco_iris
408,ELASTANO,Tramas,Canga Elastano — Tramas,Cangas em Elastano,Tramas|canga_elastano_tramas|tramas
409,ELASTANO,Tye Dye,Canga Elastano — Tye Dye,Cangas em Elastano,Tye Dye|canga_elastano_tye_dye|tye dye|tye_dye
410,ELASTANO,Brasil,Canga Elastano — Brasil,Cangas em Elastano,Brasil|brasil|canga_elastano_brasil
411,ELASTANO,Brasil Tropical,Canga Elastano — Brasil Tropical,Cangas em Elastano,Brasil Tropical|brasil tropical|brasil_tropical|canga_elastano_brasil_tropical
412,ELASTANO,Oxente Transparente,Canga Elastano — Oxente Transparente,Cangas em Elastano,Oxente Transparente|canga_elastano_oxente_transparente|oxente transparente|oxente_transparente
413,ELASTANO,Filtro dos Sonhos,Canga Elastano — Filtro dos Sonhos,Cangas em Elastano,Filtro dos Sonhos|canga_elastano_filtro_dos_sonhos|filtro dos sonhos|filtro_dos_sonhos
414,ELASTANO,João Pessoa Paisagem,Canga Elastano — João Pessoa Paisagem,Cangas em Elastano,João Pessoa Paisagem|canga_elastano_joao_pessoa_paisagem|joao pessoa paisagem|joao_pessoa_paisagem
415,ELASTANO,Coqueiros,Canga Elastano — Coqueiros,Cangas em Elastano,Coqueiros|canga_elastano_coqueiros|coqueiros
416,ELASTANO,Mamute,Canga Elastano — Mamute,Cangas em Elastano,Mamute|canga_elastano_mamute|mamute
417,ELASTANO,Eu Amo Nordeste Transparente,Canga Elastano — Eu Amo Nordeste Transparente,Cangas em Elastano,Eu Amo Nordeste Transparente|canga_elastano_eu_amo_nordeste_transparente|eu amo nordeste transparente|eu_amo_nordeste_transparente
418,ELASTANO,Estrela,Canga Elastano — Estrela,Cangas em Elastano,Estrela|canga_elastano_estrela|estrela
419,ELASTANO,Viajar,Canga Elastano — Viajar,Cangas em Elastano,Viajar|canga_elastano_viajar|viajar
420,ELASTANO,Laranja,Canga Elastano — Laranja,Cangas em Elastano,Laranja|canga_elastano_laranja|laranja
421,ELASTANO,Listras Onça,Canga Elastano — Listras Onça,Cangas em Elastano,Listras Onça|canga_elastano_listras_onca|listras onca|listras_onca
422,ELASTANO,Oxente Bege,Canga Elastano — Oxente Bege,Cangas em Elastano,Oxente Bege|canga_elastano_oxente_bege|oxente bege|oxente_bege
423,ELASTANO,Flamingo,Canga Elastano — Flamingo,Cangas em Elastano,Flamingo|canga_elastano_flamingo|flamingo
424,ELASTANO,Juliete,Canga Elastano — Juliete,Cangas em Elastano,Juliete|canga_elastano_juliete|juliete
425,ELASTANO,Para Hoje,Canga Elastano — Para Hoje,Cangas em Elastano,Para Hoje|canga_elastano_para_hoje|para hoje|para_hoje
426,ELASTANO,Vc Fica Linda,Canga Elastano — Vc Fica Linda,Cangas em Elastano,Vc Fica Linda|canga_elastano_vc_fica_linda|vc fica linda|vc_fica_linda
427,ELASTANO,Se Avexe Não,Canga Elastano — Se Avexe Não,Cangas em Elastano,Se Avexe Não|canga_elastano_se_avexe_nao|se avexe nao|se_avexe_nao
428,ALGODAO,Instrumentos Musicais,Canga Algodão — Instrumentos Musicais,Cangas em Algodão,Instrumentos Musicais|canga_algodao_instrumentos_musicais|instrumentos musicais|instrumentos_musicais
429,ALGODAO,Cordel,Canga Algodão — Cordel,Cangas em Algodão,Cordel|canga_algodao_cordel|cordel
430,ALGODAO,Eu Amo Nordeste,Canga Algodão — Eu Amo Nordeste,Cangas em Algodão,Eu Amo Nordeste|canga_algodao_eu_amo_nordeste|eu amo nordeste|eu_amo_nordeste
431,ALGODAO,Oxente,Canga Algodão — Oxente,Cangas em Algodão,Oxente|canga_algodao_oxente|oxente
