Data,Vendas brutas,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
31/03/2026,2370.00,0.00,0.00,2370.00,1068.50,1301.50,54.92%,0.00
30/03/2026,1605.00,0.00,0.00,1605.00,762.25,842.75,52.51%,0.00
29/03/2026,3040.00,0.00,0.00,3040.00,1540.50,1499.50,49.33%,0.00
28/03/2026,3545.00,0.00,0.00,3545.00,1637.30,1907.70,53.81%,0.00
27/03/2026,2555.00,0.00,0.00,2555.00,1253.70,1301.30,50.93%,0.00
26/03/2026,1935.00,0.00,0.00,1935.00,803.50,1131.50,58.48%,0.00
25/03/2026,4930.00,0.00,0.00,4930.00,2176.45,2753.55,55.85%,0.00
24/03/2026,2980.00,0.00,0.00,2980.00,1422.60,1557.40,52.26%,0.00
23/03/2026,2235.00,0.00,0.00,2235.00,1080.35,1154.65,51.66%,0.00
22/03/2026,3300.00,0.00,0.00,3300.00,1959.90,1340.10,40.61%,0.00
21/03/2026,4515.00,0.00,0.00,4515.00,4495.00,20.00,0.44%,0.00
20/03/2026,5395.00,0.00,0.00,5395.00,5395.00,0.00,0.00%,0.00
19/03/2026,4050.00,20.00,0.00,4030.00,4030.00,0.00,0.00%,0.00
18/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
17/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
16/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
15/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
14/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
13/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
12/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
11/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
09/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
08/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
07/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
06/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
05/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
04/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
03/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
02/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
01/03/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
